t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,t_101,t_102,t_103,t_104,t_105,t_106,t_107,t_108,t_109,t_110,t_111,t_112,t_113,t_114,t_115,t_116,t_117,t_118,t_119,t_120,t_121,t_122,t_123,t_124,t_125,t_126,t_127,t_128,t_129,t_130,t_131,t_132,t_133,t_134,t_135,t_136,t_137,t_138,t_139,t_140,t_141,t_142,t_143,label
2.4839397,2.2762865,2.0675157,1.9218926,1.7187752,1.5084285,1.3006752,1.0902862,0.88273283,0.67230088,0.46338263,0.25452493,0.045738433,-0.15618851,-0.20898526,-0.39491294,-0.59416173,-0.79717148,-0.97459659,-1.1281626,-1.2471358,-1.3508344,-1.4282984,-1.4765422,-1.4546148,-1.3188356,-1.1199756,-1.1040958,-1.2081262,-1.2945136,-1.3931779,-1.4103987,-1.3336806,-1.2434818,-1.1145749,-0.9665368,-0.8024914,-0.64442211,-0.4572488,-0.25953338,-0.054255002,0.14351679,0.33844969,0.50235236,0.63060267,0.80258345,0.92499573,1.0185689,0.94160626,0.78640155,0.63606792,0.49115316,0.33762623,0.20479898,0.07939273,-0.03902151,-0.16309908,-0.26187753,-0.3681949,-0.4447979,-0.5155321,-0.57885785,-0.60417059,-0.4401343,-0.24160479,-0.044280987,0.15794856,0.36140318,0.56589983,0.77289208,0.9802118,1.1632106,1.2201003,1.2448232,1.2576725,1.113846,0.94949552,0.74304119,0.53938188,0.33519671,0.13240447,-0.074559373,-0.27855772,-0.47648501,-0.57308581,-0.52120377,-0.45570444,-0.36156084,-0.27102608,-0.18635233,-0.074927738,0.060174087,0.18753486,0.31068827,0.45322006,0.59745794,0.75049069,0.87749981,0.86053266,0.72897203,0.56517427,0.41736482,0.27296108,0.061688525,-0.12986154,-0.31680962,-0.49146469,-0.67633946,-0.8293904,-0.96978819,-1.1316148,-1.2544451,-1.3336289,-1.407287,-1.3467957,-1.2444196,-1.1450764,-1.0710609,-1.2579381,-1.4085376,-1.4385671,-1.3845227,-1.306864,-1.2136958,-1.0970526,-0.96014143,-0.77578245,-0.58169666,-0.38548837,-0.20527476,-0.11699439,0.090279239,0.29779206,0.50550708,0.71339453,0.91586026,1.1204496,1.3263464,1.5322099,1.7399188,1.9457323,2.1539857,2.3612278,2.4839393,1
2.6033202,2.3406991,2.0822848,1.8256242,1.5677057,1.312203,1.0571948,0.80171574,0.54668324,0.29184852,0.036620124,-0.076145805,-0.077345421,-0.32715917,-0.55385214,-0.77740075,-0.98743954,-1.1772381,-1.3417039,-1.4877612,-1.5913839,-1.5398392,-1.3617477,-1.1602,-0.94445714,-0.72419347,-0.49296528,-0.25654058,-0.018473971,0.22906779,0.4758472,0.72738842,0.97984925,1.2146635,1.3530934,1.429684,1.2298086,0.97486519,0.72410721,0.47393361,0.22447252,-0.026501199,-0.27701261,-0.52358636,-0.76843155,-1.0109777,-1.258246,-1.4942601,-1.724048,-1.9442474,-2.1024786,-1.8902902,-1.573859,-1.2427513,-0.91161286,-0.58045518,-0.40182176,-0.23661222,0.080087751,0.12946244,0.22720245,0.34161686,0.51234783,0.54215024,0.60380459,0.47066135,0.30967422,0.14081188,-0.015294395,-0.15568651,-0.25551463,-0.09824746,0.14596096,0.37101772,0.17575741,-0.081246783,-0.33595479,-0.24018851,-0.077118922,-0.23480484,-0.31742572,-0.18653007,0.027555374,0.32381875,0.59511506,0.48047297,0.28888398,0.45603055,0.60415011,0.59232869,0.33892255,0.059411418,-0.24776083,-0.55447174,-0.86046958,-1.1502966,-1.3889489,-1.5647913,-1.6519986,-1.4012887,-1.1597827,-0.91515415,-0.66830737,-0.41982704,-0.17010698,0.076760915,0.32628718,0.57857465,0.831323,1.084451,1.3239062,1.2420159,1.1227528,0.89563939,0.63477198,0.37818895,0.12493438,-0.12351292,-0.3654709,-0.59858812,-0.82646654,-1.0366718,-1.1646813,-1.111729,-1.0301836,-0.92715934,-0.79055987,-0.63538669,-0.46553638,-0.27997284,-0.064031295,0.011087294,-0.058283967,0.17414392,0.42727417,0.67606563,0.92129853,1.1717223,1.4188965,1.6636066,1.9158275,2.1624669,2.405276,2.6052935,4
2.7573213,2.5766667,2.3633233,2.1515785,1.9402183,1.7294275,1.5194285,1.3095473,1.1002525,0.89149301,0.68316216,0.48284239,0.29863458,0.13567193,-0.044849335,-0.23930663,-0.43152696,-0.62691339,-0.81397062,-0.99732558,-1.1813171,-1.3582881,-1.4659699,-1.5089486,-1.496861,-1.4782074,-1.412206,-1.3239231,-1.1918873,-1.0446514,-0.89704466,-0.71331836,-0.51601597,-0.30552019,-0.10625774,0.043619875,0.11029285,0.17195384,0.22452152,0.22648066,0.062473447,-0.097632138,-0.2533021,-0.40133812,-0.54069526,-0.66706632,-0.7787056,-0.88096129,-0.82291267,-0.669114,-0.42732211,-0.14667831,0.1195868,0.39611519,0.59019885,0.74991067,0.81105314,0.76421912,0.71206526,0.67934735,0.65764908,0.63866054,0.61240293,0.47354181,0.2713182,0.054451722,-0.19501709,-0.38211589,-0.53877968,-0.56113151,-0.72374251,-0.53509699,-0.62841542,-0.65160372,-0.56321382,-0.630903,-0.41540582,-0.24240349,-0.00983671,0.19852554,0.39902878,0.59817658,0.60695164,0.62597381,0.64696002,0.67587805,0.70706991,0.74846728,0.72461171,0.54673754,0.343734,0.086854673,-0.18082168,-0.42481027,-0.54121964,-0.6819262,-0.79595067,-0.67876866,-0.56063115,-0.42845587,-0.29259062,-0.14690512,0.0053845619,0.14490978,0.13407478,0.056756923,0.004181428,-0.13317056,-0.31691253,-0.50506161,-0.68332439,-0.86973579,-1.0241731,-1.1590032,-1.2774891,-1.3824549,-1.4621198,-1.5058779,-1.5212354,-1.5143435,-1.46524,-1.3537072,-1.1840088,-1.008923,-0.81948018,-0.63688168,-0.45116963,-0.27119595,-0.080203676,0.08335094,0.23370105,0.39512565,0.56127948,0.75014219,0.954268,1.1573429,1.3633172,1.5663255,1.7698597,1.9738637,2.1782898,2.3808412,2.5849446,2.7591348,6
0.91606299,0.72014528,0.52244461,0.32582622,0.13438136,-0.054011878,-0.2355249,-0.40960453,-0.57445324,-0.78235298,-1.0053181,-1.2279865,-1.4426934,-1.6448778,-1.8306562,-1.9195812,-1.8035386,-1.5759193,-1.3327683,-1.1173493,-0.89006866,-0.66137626,-0.42517777,-0.18591372,-0.10435763,0.021735391,0.091275387,0.017600571,0.18052724,0.16135838,0.10764222,0.037772054,-0.034970468,-0.12762121,-0.24167232,-0.34359306,-0.44914315,-0.5478897,-0.63057071,-0.68493276,-0.71865844,-0.73532153,-0.75234521,-0.75870643,-0.70580705,-0.52525895,-0.33631356,-0.1510211,0.040872718,0.22369447,0.44355768,0.61823605,0.80706577,0.98733899,1.1220905,1.1689947,1.3610857,1.5653551,1.7643122,1.9636992,2.1556791,2.3482909,2.5340629,2.6594837,2.4548075,2.2120803,1.9706545,1.7365198,1.5090857,1.2878235,1.1432854,1.1094216,0.92074988,0.70137421,0.48774783,0.27956361,0.074658763,-0.12875851,-0.32825562,-0.52414107,-0.65558425,-0.71192648,-0.72930398,-0.72464075,-0.71276777,-0.68129539,-0.62749044,-0.55814425,-0.45177128,-0.36019347,-0.25139058,-0.1459897,-0.066733697,-0.012289982,0.024303029,-0.11323945,-0.051202288,-0.079786945,-0.079004004,-0.22193899,-0.27954542,-0.42077272,-0.61980314,-0.81860353,-1.0177334,-1.2154573,-1.4124449,-1.6085724,-1.8007567,-1.8611144,-1.7842322,-1.6553383,-1.5051516,-1.3376503,-1.1623654,-0.97173711,-0.76477054,-0.56806157,-0.40704087,-0.22647154,-0.054443451,0.1341018,0.30159609,0.49390326,0.71009348,0.81340465,0.73430262,0.65673244,0.57647877,0.52269543,0.55843962,0.77278978,0.79409624,0.98773843,1.1333979,0.98435229,0.7606417,0.54150247,0.51734226,0.58283564,0.65864079,0.75790089,0.85340119,0.9162167,5
2.6561424,2.3881447,2.1185954,1.8496769,1.5765789,1.3101686,1.1096989,0.93099796,0.75066835,0.53933328,0.28010942,0.20276867,0.22508711,0.19042686,-0.063983696,-0.33168225,-0.60321886,-0.84843941,-1.0783631,-1.2734119,-1.4464942,-1.584146,-1.6670505,-1.7010557,-1.6188634,-1.407405,-1.2048674,-1.2931578,-1.3748465,-1.4656169,-1.3969527,-1.2215771,-1.0158346,-0.81734642,-0.65343779,-0.47411065,-0.65089252,-0.45514079,-0.1848143,0.086319579,0.041223182,0.22911957,0.35626216,0.48376702,0.55915696,0.68215232,0.81802635,0.94665626,0.98247826,0.76145863,0.55583395,0.34053026,0.43691517,0.6548992,0.60400866,0.40423586,0.16636472,-0.0067328717,-0.22974214,-0.4191685,-0.57361901,-0.72355107,-0.85571729,-0.96959724,-1.0566473,-0.81912106,-0.64609063,-0.57067292,-0.3055073,-0.038956282,0.14507293,0.13264647,0.2988537,0.55352964,0.84499197,1.1245126,1.3811789,1.3279455,1.0500021,0.79689538,0.52849205,0.25333286,0.0054081497,-0.23834057,-0.47698567,-0.7184891,-0.9563227,-0.87929187,-0.75035897,-0.60299275,-0.44525937,-0.27794037,-0.057522122,0.15638455,0.38883239,0.5575828,0.42467766,0.37679674,0.59789476,0.83371019,1.0412347,0.89298188,0.75637287,0.63250634,0.50049939,0.41597299,0.29535534,0.085225612,0.12257167,-0.16477177,-0.43478871,-0.53804395,-0.62052287,-0.78824635,-1.0386177,-1.2275941,-1.3667654,-1.3839437,-1.3008084,-1.2520141,-1.5050624,-1.5541004,-1.5145156,-1.406161,-1.259102,-1.0994038,-0.83572725,-0.57056235,-0.3043098,-0.045448721,0.21844501,0.18433708,0.19044472,0.40835279,0.63666299,0.79240251,0.98607156,1.1789434,1.3926792,1.6603249,1.9292371,2.1991619,2.4699927,2.6555235,2
2.7167978,2.5208585,2.3196204,2.1164411,1.9136371,1.7112498,1.5093279,1.3046473,1.103617,0.89958409,0.69586494,0.5034464,0.33700001,0.17465789,0.026847966,-0.14055976,-0.29680348,-0.484202,-0.6690474,-0.85084609,-1.0290017,-1.2111882,-1.3828843,-1.5582683,-1.6090677,-1.6304231,-1.6044642,-1.5823343,-1.4966254,-1.4022066,-1.2706389,-1.1293643,-0.99553878,-0.80857541,-0.62925941,-0.44001283,-0.24242964,-0.056332471,0.054336943,0.098968353,0.18922617,0.22161921,0.12435781,-0.034593277,-0.16796022,-0.30405343,-0.43233416,-0.55184901,-0.66160708,-0.76052585,-0.76044498,-0.59386008,-0.3979507,-0.12483583,0.13097825,0.373611,0.55899374,0.72297763,0.75814876,0.72297566,0.68426275,0.65528706,0.63626469,0.62730749,0.58985063,0.38339541,0.17836442,-0.049425002,-0.26874949,-0.45617825,-0.5469393,-0.44128281,-0.62345876,-0.53810461,-0.48372943,-0.59460601,-0.43119399,-0.57248662,-0.35509699,-0.1702752,0.062895792,0.28447507,0.48959807,0.62517469,0.64040725,0.6575601,0.68613577,0.72420454,0.761223,0.76752314,0.61122333,0.43316284,0.19026404,-0.089009429,-0.3397552,-0.4437233,-0.59805349,-0.70014872,-0.58512299,-0.45676835,-0.32194368,-0.18110449,-0.029765644,0.1317236,0.22917981,0.1755542,0.11302655,0.14095181,-0.0038375578,-0.18323565,-0.40019951,-0.60563899,-0.80091178,-0.97740921,-1.1381888,-1.2778094,-1.3836284,-1.4677431,-1.5198818,-1.5378407,-1.4935811,-1.4188485,-1.2449883,-1.0742513,-0.89368405,-0.71100209,-0.53094497,-0.34595477,-0.15597181,0.0216526,0.18870694,0.35917471,0.52598933,0.72980223,0.93622886,1.14319,1.3506284,1.5586054,1.7671641,1.9762411,2.1858814,2.3967625,2.608897,2.7148302,6
2.6822769,2.4972437,2.2947108,2.0925379,1.8906732,1.6896471,1.4879267,1.2871526,1.086839,0.886228,0.6863962,0.48931426,0.30831751,0.13832593,-0.01947787,-0.19188939,-0.3796431,-0.5628843,-0.74903226,-0.92222506,-1.0991233,-1.2809957,-1.4496814,-1.5911894,-1.6281555,-1.6417607,-1.6039197,-1.5472527,-1.4593045,-1.3244094,-1.164777,-1.0043685,-0.82726564,-0.62714429,-0.41442558,-0.20274831,-0.021691281,0.082824307,0.15202882,0.21992439,0.26069847,0.14560028,-0.0070349266,-0.14978334,-0.27849524,-0.40866347,-0.53161623,-0.6402558,-0.73781747,-0.83343368,-0.73519904,-0.56482287,-0.3388217,-0.055566073,0.17323973,0.42995314,0.60393344,0.75797342,0.78580279,0.73321789,0.69002867,0.67043231,0.65126995,0.63803879,0.58654284,0.44095653,0.24686624,0.079708319,-0.16810917,-0.35170279,-0.4972362,-0.4237635,-0.58202815,-0.43806479,-0.50696853,-0.43857827,-0.5101868,-0.28775071,-0.068827205,0.17700395,0.37718709,0.5776696,0.61652882,0.63662289,0.64683661,0.67699286,0.71283431,0.74113953,0.73884733,0.56613375,0.39045642,0.13934494,-0.12032244,-0.30398233,-0.4124573,-0.56362993,-0.64342837,-0.54575863,-0.42480915,-0.29521795,-0.15791834,-0.014856431,0.12753707,0.19081207,0.13228349,0.083664114,-0.019605067,-0.16886208,-0.36791495,-0.57421737,-0.76879261,-0.94506393,-1.0977423,-1.2327839,-1.3572277,-1.456463,-1.5199273,-1.5542581,-1.5711567,-1.5461397,-1.4559469,-1.2911716,-1.1211402,-0.94680684,-0.77800513,-0.6051071,-0.42085946,-0.24826688,-0.074507669,0.07136575,0.22793745,0.3895176,0.56683164,0.7613258,0.95905467,1.1572467,1.3558483,1.5548132,1.7521574,1.9501319,2.1499168,2.3484726,2.5464249,2.6828682,6
2.4838312,2.2688158,2.0626299,1.8713282,1.6610729,1.4608323,1.2592238,1.0642268,0.86688651,0.66794547,0.48614002,0.28845914,0.090740957,-0.11064428,-0.24285618,-0.32211282,-0.51519993,-0.70644822,-0.86272,-1.0079909,-1.1408454,-1.2434873,-1.3139982,-1.3623354,-1.3157533,-1.2046094,-1.0599186,-0.88602452,-0.95360954,-1.0523472,-1.1325237,-1.2055623,-1.1946846,-1.1487291,-1.0905058,-0.94752831,-0.77998953,-0.59695339,-0.40026626,-0.19169041,0.023264901,0.22839718,0.37151653,0.49744544,0.6636862,0.77709704,0.78982942,0.64513364,0.49792102,0.35684958,0.22649724,0.093265951,-0.031831532,-0.13975711,-0.24872766,-0.34337825,-0.42544791,-0.49477649,-0.55029983,-0.44531085,-0.2703253,-0.09854661,0.077912487,0.26239535,0.45391547,0.63964939,0.80877444,0.89297233,0.90041154,0.84656864,0.99091732,1.1705181,1.3581081,1.4584844,1.5217953,1.3477557,1.1558648,0.96263062,0.76980375,0.57737333,0.3868657,0.19547828,0.0044235839,-0.18623221,-0.37725066,-0.56871491,-0.61213075,-0.5782962,-0.51266838,-0.45170439,-0.37838394,-0.29371522,-0.18817791,-0.078496537,0.033853878,0.15373563,0.26596013,0.30797076,0.18576479,0.047241122,-0.069056789,-0.2500723,-0.41159537,-0.56778514,-0.70217341,-0.84368415,-0.97529934,-1.0894057,-1.2046213,-1.2965056,-1.3700331,-1.4227575,-1.4348553,-1.3376014,-1.2239927,-1.1291711,-1.1140423,-1.3102003,-1.4374515,-1.3746238,-1.3067008,-1.2198355,-1.1219496,-0.99993892,-0.82164074,-0.63183475,-0.45912255,-0.3130509,-0.21744236,-0.0089578006,0.18310317,0.37999555,0.56330121,0.7474535,0.92603158,1.1178591,1.3039325,1.4904919,1.6774789,1.8648473,2.0534016,2.2353795,2.4170555,2.4883959,1
2.546714,2.2531057,1.9658541,1.6824847,1.405743,1.1285275,0.98866993,0.83648479,0.67847219,0.55344663,0.30010108,0.16185385,0.088628416,0.10356522,-0.0054858545,-0.27634553,-0.54368251,-0.7437235,-0.53187623,-0.50933731,-0.68617903,-0.93993955,-1.1080098,-1.2921628,-1.4212151,-1.504236,-1.5531786,-1.5217152,-1.3450132,-1.1157309,-1.0852542,-1.1805177,-1.2569657,-1.2568636,-1.0851518,-0.88975838,-0.69547754,-0.52551162,-0.45584933,-0.43279749,-0.17705799,0.070965495,0.087930247,0.26038999,0.38312006,0.4578022,0.55641841,0.68966287,0.79804886,0.82477477,0.55241868,0.33329402,0.44637147,0.3891884,0.16894117,-0.11331882,-0.30696138,-0.46506018,-0.61740808,-0.7503554,-0.85563231,-0.7054237,-0.54712634,-0.32517969,-0.081515061,0.14365288,0.13621575,0.35136281,0.59781393,0.86000579,1.1176534,1.3753013,1.6383028,1.8755089,2.0275559,1.8097783,1.5465753,1.2735305,1.016796,0.75698633,0.49037876,0.23061821,0.059688501,-0.21702234,-0.481509,-0.74310288,-0.93065617,-0.85191774,-0.74916196,-0.61346439,-0.38400638,-0.10880553,0.16004267,0.019605521,-0.097687477,0.083183605,0.022215543,0.15748447,0.3564154,0.52854142,0.42791617,0.3028465,0.17892429,0.13399822,-0.0056811954,-0.22633294,-0.19487425,-0.39659347,-0.61399016,-0.76287062,-0.6633419,-0.81849733,-1.0153385,-1.2090894,-1.3460971,-1.4407447,-1.357405,-1.2641203,-1.1967109,-1.4460565,-1.5727047,-1.5376869,-1.4624452,-1.3514321,-1.2101101,-0.98189675,-0.71884196,-0.42174982,-0.15941558,0.037331202,0.096133632,0.091763288,0.32889508,0.51400382,0.66477892,0.8201667,0.99008745,1.195825,1.4519438,1.7087872,1.9591914,2.2038031,2.4497553,2.5540356,2
2.7370103,2.5098085,2.2778408,2.0491548,1.8199174,1.5951508,1.3686333,1.1422222,0.91680399,0.68219617,0.52917469,0.37555006,0.23054933,0.018565834,-0.19151401,-0.40042399,-0.60528497,-0.808822,-1.0071932,-1.2042311,-1.3516513,-1.3931712,-1.41707,-1.4276655,-1.39273,-1.3323304,-1.2542197,-1.1430334,-1.0189239,-0.88677317,-0.73761435,-0.56870445,-0.3896981,-0.2035322,-0.0099850802,0.070696378,0.13113341,0.20335919,0.2231701,0.10018913,-0.086984433,-0.26015568,-0.42867759,-0.58653501,-0.72270213,-0.8525852,-0.95380944,-1.0209458,-0.77406171,-0.53293257,-0.28635501,-0.039501568,0.20757578,0.46352338,0.66112129,0.79679878,0.87451769,0.81801939,0.77311276,0.73477501,0.72725761,0.71768537,0.57843973,0.35011111,0.13512686,-0.099903205,-0.30730333,-0.49886755,-0.65900458,-0.58605068,-0.65106196,-0.51232829,-0.61813493,-0.60956577,-0.60030554,-0.45024735,-0.28243846,-0.067807822,0.14987865,0.36235158,0.5743465,0.68048561,0.69607502,0.70531398,0.72251935,0.74998081,0.78751117,0.81449558,0.65331094,0.46408046,0.23352553,-0.0048299884,-0.24450874,-0.48340215,-0.58960297,-0.54986986,-0.53593723,-0.62054281,-0.48474318,-0.35651164,-0.20490431,-0.061375377,0.075361534,0.08129676,-0.00028248029,-0.051637607,-0.18775972,-0.35521812,-0.53514509,-0.69701018,-0.85587672,-0.9975323,-1.1152284,-1.2330477,-1.3140215,-1.3964329,-1.448012,-1.4719903,-1.4704134,-1.4545496,-1.4129706,-1.3046038,-1.1230083,-0.93618403,-0.74511414,-0.55840495,-0.36575575,-0.17591015,0.013493393,0.17411661,0.31996108,0.47341259,0.63811951,0.83141469,1.0382807,1.2458198,1.4539515,1.6626074,1.871728,2.0745124,2.2845767,2.4885876,2.6871232,2.7477457,6
